"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\AnlysLab\Project\AnlysProject\README.md", "Markdown", 0, 2, 0, 1, 3
"d:\AnlysLab\Project\AnlysProject\SearchEngine.cpp", "C++", 170, 0, 28, 71, 269
"d:\AnlysLab\Project\AnlysProject\SearchEngine.h", "C++", 33, 0, 3, 17, 53
"d:\AnlysLab\Project\AnlysProject\TrieNode.h", "C++", 28, 0, 0, 6, 34
"d:\AnlysLab\Project\AnlysProject\TrieTree.cpp", "C++", 72, 0, 2, 26, 100
"d:\AnlysLab\Project\AnlysProject\TrieTree.h", "C++", 18, 0, 1, 15, 34
"d:\AnlysLab\Project\AnlysProject\WebPage.cpp", "C++", 66, 0, 2, 19, 87
"d:\AnlysLab\Project\AnlysProject\WebPage.h", "C++", 38, 0, 4, 11, 53
"d:\AnlysLab\Project\AnlysProject\main.cpp", "C++", 19, 0, 7, 12, 38
"Total", "-", 444, 2, 47, 178, 671
