"filename", "language", "C++", "comment", "blank", "total"
"d:\AnlysLab\Project\AnlysProject\SearchEngine.cpp", "C++", 81, 9, 34, 124
"d:\AnlysLab\Project\AnlysProject\SearchEngine.h", "C++", 1, 1, 2, 4
"d:\AnlysLab\Project\AnlysProject\TrieNode.h", "C++", 16, 0, 3, 19
"d:\AnlysLab\Project\AnlysProject\TrieTree.cpp", "C++", -5, 0, -1, -6
"d:\AnlysLab\Project\AnlysProject\TrieTree.h", "C++", -1, 0, 4, 3
"d:\AnlysLab\Project\AnlysProject\WebPage.cpp", "C++", 9, 0, 3, 12
"d:\AnlysLab\Project\AnlysProject\WebPage.h", "C++", 2, 0, 0, 2
"d:\AnlysLab\Project\AnlysProject\main.cpp", "C++", 9, 7, 8, 24
"Total", "-", 112, 17, 53, 182
